Country,Team,Medal,Rank,Iden,maxRank,maxGoldRank,maxSilverRank,maxBronzeRank
Switzerland,Alpine Skiing (Switzerland),Silver,4,Top,7,2,5,7
Switzerland,Alpine Skiing (Switzerland),Silver,5,Top,7,2,5,7
Switzerland,Alpine Skiing (Switzerland),Bronze,6,Top,7,2,5,7
Switzerland,Alpine Skiing (Switzerland),Bronze,7,Top,7,2,5,7
Switzerland,Rest of Switzerland,Gold,1,Rest,8,3,6,8
Switzerland,Rest of Switzerland,Gold,2,Rest,8,3,6,8
Switzerland,Rest of Switzerland,Gold,3,Rest,8,3,6,8
Switzerland,Rest of Switzerland,Silver,4,Rest,8,3,6,8
Switzerland,Rest of Switzerland,Silver,5,Rest,8,3,6,8
Switzerland,Rest of Switzerland,Silver,6,Rest,8,3,6,8
Switzerland,Rest of Switzerland,Bronze,7,Rest,8,3,6,8
Switzerland,Rest of Switzerland,Bronze,8,Rest,8,3,6,8
Ukraine,Ukraine,Gold,1,All,1,1,0,0
Ukraine,Freestyle Skating (Ukraine),Gold,1,Top,1,1,0,0
United States,United States,Gold,1,All,23,9,17,23
United States,United States,Gold,2,All,23,9,17,23
United States,United States,Gold,3,All,23,9,17,23
United States,United States,Gold,4,All,23,9,17,23
United States,United States,Gold,5,All,23,9,17,23
United States,United States,Gold,6,All,23,9,17,23
United States,United States,Gold,7,All,23,9,17,23
United States,United States,Gold,8,All,23,9,17,23
United States,United States,Gold,9,All,23,9,17,23
United States,United States,Silver,10,All,23,9,17,23
United States,United States,Silver,11,All,23,9,17,23
United States,United States,Silver,12,All,23,9,17,23
United States,United States,Silver,13,All,23,9,17,23
United States,United States,Silver,14,All,23,9,17,23
United States,United States,Silver,15,All,23,9,17,23
United States,United States,Silver,16,All,23,9,17,23
United States,United States,Silver,17,All,23,9,17,23
United States,United States,Bronze,18,All,23,9,17,23
United States,United States,Bronze,19,All,23,9,17,23
United States,United States,Bronze,20,All,23,9,17,23
United States,United States,Bronze,21,All,23,9,17,23
United States,United States,Bronze,22,All,23,9,17,23
United States,United States,Bronze,23,All,23,9,17,23
United States,Snowboard (United States),Gold,1,Top,7,4,6,7
United States,Snowboard (United States),Gold,2,Top,7,4,6,7
United States,Snowboard (United States),Gold,3,Top,7,4,6,7
United States,Snowboard (United States),Gold,4,Top,7,4,6,7
United States,Snowboard (United States),Silver,5,Top,7,4,6,7
United States,Snowboard (United States),Silver,6,Top,7,4,6,7
United States,Snowboard (United States),Bronze,7,Top,7,4,6,7
United States,Rest of United States,Gold,1,Rest,16,5,11,16
United States,Rest of United States,Gold,2,Rest,16,5,11,16
United States,Rest of United States,Gold,3,Rest,16,5,11,16
United States,Rest of United States,Gold,4,Rest,16,5,11,16
United States,Rest of United States,Gold,5,Rest,16,5,11,16
United States,Rest of United States,Silver,6,Rest,16,5,11,16
United States,Rest of United States,Silver,7,Rest,16,5,11,16
United States,Rest of United States,Silver,8,Rest,16,5,11,16
United States,Rest of United States,Silver,9,Rest,16,5,11,16
United States,Rest of United States,Silver,10,Rest,16,5,11,16
United States,Rest of United States,Silver,11,Rest,16,5,11,16
United States,Rest of United States,Bronze,12,Rest,16,5,11,16
United States,Rest of United States,Bronze,13,Rest,16,5,11,16
United States,Rest of United States,Bronze,14,Rest,16,5,11,16
United States,Rest of United States,Bronze,15,Rest,16,5,11,16
United States,Rest of United States,Bronze,16,Rest,16,5,11,16
