x,y,CIdn,CIup,alpha
3.091095686,1.082938659,0.799509222,1.366368096,0.03
3.112473271,1.098623526,0.820110149,1.377136903,0.03
3.133850857,1.114308393,0.840682787,1.387933999,0.03
3.155228442,1.129993259,0.861225592,1.398760927,0.03
3.176606028,1.145678126,0.881736917,1.409619336,0.03
3.197983613,1.161362993,0.902215003,1.420510983,0.03
3.219361199,1.17704786,0.922657971,1.431437748,0.03
3.240738784,1.192732727,0.943063814,1.442401639,0.03
3.26211637,1.208417593,0.963430385,1.453404801,0.03
3.283493955,1.22410246,0.98375539,1.46444953,0.03
3.304871541,1.239787327,1.004036373,1.47553828,0.03
3.326249126,1.255472194,1.02427071,1.486673677,0.03
3.347626712,1.271157061,1.044455593,1.497858528,0.03
3.369004297,1.286841927,1.064588016,1.509095838,0.03
3.390381883,1.302526794,1.084664768,1.52038882,0.03
3.411759468,1.318211661,1.104682413,1.531740908,0.03
3.433137054,1.333896528,1.124637281,1.543155775,0.03
3.454514639,1.349581394,1.144525448,1.554637341,0.03
3.475892225,1.365266261,1.164342728,1.566189794,0.03
3.49726981,1.380951128,1.184084659,1.577817597,0.03
3.518647395,1.396635995,1.203746485,1.589525505,0.03
3.540024981,1.412320862,1.223323149,1.601318574,0.03
3.561402566,1.428005728,1.242809283,1.613202174,0.03
3.582780152,1.443690595,1.262199198,1.625181993,0.03
3.604157737,1.459375462,1.281486881,1.637264043,0.03
3.625535323,1.475060329,1.300665998,1.64945466,0.03
3.646912908,1.490745195,1.319729891,1.6617605,0.03
3.668290494,1.506430062,1.3386716,1.674188524,0.03
3.689668079,1.522114929,1.357483873,1.686745985,0.03
3.711045665,1.537799796,1.376159195,1.699440396,0.03
3.73242325,1.553484663,1.394689831,1.712279494,0.03
3.753800836,1.569169529,1.413067866,1.725271193,0.03
3.775178421,1.584854396,1.431285272,1.73842352,0.03
3.796556007,1.600539263,1.449333978,1.751744548,0.03
3.817933592,1.61622413,1.467205955,1.765242305,0.03
3.839311178,1.631908997,1.484893315,1.778924678,0.03
3.860688763,1.647593863,1.502388421,1.792799306,0.03
3.882066349,1.66327873,1.519684,1.80687346,0.03
3.903443934,1.678963597,1.536773274,1.82115392,0.03
3.92482152,1.694648464,1.553650075,1.835646852,0.03
3.946199105,1.71033333,1.57030898,1.850357681,0.03
3.967576691,1.726018197,1.586745415,1.86529098,0.03
3.988954276,1.741703064,1.602955765,1.880450363,0.03
4.010331862,1.757387931,1.618937456,1.895838405,0.03
4.031709447,1.773072798,1.634689017,1.911456578,0.03
4.053087033,1.788757664,1.650210116,1.927305213,0.03
4.074464618,1.804442531,1.665501567,1.943383496,0.03
4.095842204,1.820127398,1.680565312,1.959689484,0.03
4.117219789,1.835812265,1.695404373,1.976220156,0.03
4.138597375,1.851497132,1.710022781,1.992971482,0.03
4.15997496,1.867181998,1.724425479,2.009938517,0.03
4.181352546,1.882866865,1.738618221,2.027115509,0.03
4.202730131,1.898551732,1.752607445,2.044496019,0.03
4.224107716,1.914236599,1.766400155,2.062073043,0.03
4.245485302,1.929921465,1.78000379,2.079839141,0.03
4.266862887,1.945606332,1.793426109,2.097786556,0.03
4.288240473,1.961291199,1.80667507,2.115907328,0.03
4.309618058,1.976976066,1.819758732,2.134193399,0.03
4.330995644,1.992660933,1.832685158,2.152636707,0.03
4.352373229,2.008345799,1.845462335,2.171229264,0.03
4.373750815,2.024030666,1.85809811,2.189963222,0.03
4.3951284,2.039715533,1.870600131,2.208830935,0.03
4.416505986,2.0554004,1.882975804,2.227824996,0.03
4.437883571,2.071085267,1.895232262,2.246938271,0.03
4.459261157,2.086770133,1.907376341,2.266163925,0.03
4.480638742,2.102455,1.919414562,2.285495439,0.03
4.502016328,2.118139867,1.931353124,2.30492661,0.03
4.523393913,2.133824734,1.943197903,2.324451565,0.03
4.544771499,2.1495096,1.954954452,2.344064749,0.03
4.566149084,2.165194467,1.966628008,2.363760926,0.03
4.58752667,2.180879334,1.978223499,2.383535169,0.03
4.608904255,2.196564201,1.989745556,2.403382846,0.03
4.630281841,2.212249068,2.001198523,2.423299612,0.03
4.651659426,2.227933934,2.012586474,2.443281394,0.03
4.673037012,2.243618801,2.023913224,2.463324378,0.03
4.694414597,2.259303668,2.035182342,2.483424994,0.03
4.715792183,2.274988535,2.046397169,2.5035799,0.03
4.737169768,2.290673402,2.057560828,2.523785975,0.03
4.758547354,2.306358268,2.068676238,2.544040299,0.03
4.779924939,2.322043135,2.07974613,2.564340141,0.03
4.801302525,2.337728002,2.090773054,2.584682949,0.03
4.82268011,2.353412869,2.101759398,2.605066339,0.03
4.844057696,2.369097735,2.112707392,2.625488078,0.03
4.865435281,2.384782602,2.123619123,2.645946081,0.03
4.886812867,2.400467469,2.134496543,2.666438395,0.03
4.908190452,2.416152336,2.14534148,2.686963192,0.03
2.791809489,0.863350524,0.533895916,1.192805132,0.04
2.813187074,0.879035391,0.554406876,1.203663906,0.04
2.83456466,0.894720258,0.574904518,1.214535998,0.04
2.855942245,0.910405124,0.595388232,1.225422017,0.04
2.877319831,0.926089991,0.615857372,1.23632261,0.04
2.898697416,0.941774858,0.636311254,1.247238462,0.04
2.920075002,0.957459725,0.65674915,1.2581703,0.04
2.941452587,0.973144592,0.677170291,1.269118892,0.04
2.962830173,0.988829458,0.69757386,1.280085057,0.04
2.984207758,1.004514325,0.717958988,1.291069662,0.04
3.005585344,1.020199192,0.738324754,1.30207363,0.04
3.026962929,1.035884059,0.758670175,1.313097943,0.04
3.048340515,1.051568926,0.778994209,1.324143642,0.04
3.0697181,1.067253792,0.799295745,1.33521184,0.04
3.091095686,1.082938659,0.819573599,1.346303719,0.04
3.112473271,1.098623526,0.839826511,1.357420541,0.04
3.133850857,1.114308393,0.860053136,1.368563649,0.04
3.155228442,1.129993259,0.880252041,1.379734478,0.04
3.176606028,1.145678126,0.900421694,1.390934559,0.04
3.197983613,1.161362993,0.920560461,1.402165525,0.04
3.219361199,1.17704786,0.940666597,1.413429123,0.04
3.240738784,1.192732727,0.960738235,1.424727218,0.04
3.26211637,1.208417593,0.980773382,1.436061805,0.04
